,open_time,open,high,low,close,volume,close_time,rsi,rsi_over_80,rsi_under_20,stochRsi,stochRsi_K_value,stochRsi_D_value,stochRsi_over_80,stochRsi_under_20,stochRsi_K_cross_D_bearish,stochRsi_K_cross_D_bullish,stoch,stoch_D_value,stoch_over_80,stoch_under_20,stoch_K_cross_D_bearish,stoch_K_cross_D_bullish,sma_9_value,price_over_sma_9,price_under_sma_9,pSar_value,price_over_pSar,price_under_pSar,obv,mfi,bb_upper_band,bb_lowe_band,bb_in_20_percent_of_band_top,bb_in_20_percent_of_band_bottom,bb_price_cross_upper_band_bearish,bb_price_cross_lower_band_bullish,macd,macd_signal,cci,nearest_sr,upper_support,under_resistance,hidden_rsi_divergence,regular_rsi_divergence,hidden_stochRsi_divergence,regular_stochRsi_divergence,hidden_stoch_divergence,regular_stoch_divergence,hidden_obv_divergence,regular_obv_divergence,hidden_mfi_divergence,regular_mfi_divergence,hidden_macd_divergence,regular_macd_divergence,hidden_cci_divergence,regular_cci_divergence,lch_in_20_percent_of_band_top,lch_in_20_percent_of_band_bottom
8856,1664928000000,20337.82,20365.6,20142.95,20181.95,13861.29955,1664931599999,62.13539553965833,0,0,0.0,0.536157387026947,0.7114313028831516,0,1,0,0,51.75734628364492,67.6258553577767,1,0,1,0,20199.864444444447,0,1,20475.0,0,1,-293363.26236599876,60.408724747885046,20421.38752029556,19701.443479704438,0,0,0,0,183.7566864647015,183.10549228487886,77.39025898977913,20163.16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8857,1664931600000,20181.95,20278.86,20174.25,20213.19,9420.74769,1664935199999,63.43865464619072,0,0,0.09374599187799297,0.31710571776954993,0.5428644086153976,0,1,0,0,56.58064944110891,61.91835569621738,1,0,0,0,20224.364444444447,0,1,20468.359,0,1,-283942.51467599877,60.74283456496538,20391.533774390566,19791.504225609435,0,0,0,0,174.02786676435426,181.28996718077394,67.05034749646292,20204.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8858,1664935200000,20214.38,20250.0,20182.95,20191.73,6833.92271,1664938799999,61.86345752838015,0,0,0.0,0.03124866395933099,0.2948372562519422,0,1,0,0,53.02165909317048,53.786551605974786,1,0,0,0,20242.80222222222,0,1,20461.85082,0,1,-290776.4373859988,56.422770965957696,20388.75547162582,19829.359528374185,0,0,0,0,162.71043974255372,177.57406169312992,53.430631446751555,20204.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8859,1664938800000,20191.12,20235.4,20157.58,20189.83,5932.72824,1664942399999,61.71734188187355,0,0,0.0,0.03124866395933099,0.12653434856273685,0,1,0,0,52.70655743142418,54.10295532190121,1,0,0,0,20249.786666666667,0,1,20455.4728036,0,1,-296709.1656259988,49.6868693322177,20394.128196524358,19846.16880347564,0,0,0,0,151.8376927625941,172.42678790702277,40.474507699632944,20204.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8860,1664942400000,20190.66,20226.42,20074.91,20120.97,8426.99544,1664945999999,56.50813495315694,0,0,0.0,0.0,0.02083244263955355,0,1,0,0,41.28660983780571,49.004942120800145,1,0,0,0,20238.773333333334,0,1,20449.222347528,0,1,-305136.16106599884,39.98811901190921,20383.7343390232,19880.230660976802,0,0,0,0,136.0957093137622,165.16057218837068,6.6525609779800154,20126.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8861,1664946000000,20120.97,20204.43,20102.28,20198.72,6879.59471,1664949599999,60.556316023471844,0,0,0.2072877212131865,0.06909590707106217,0.03344819034346394,0,0,0,1,54.18090152243872,49.391356263889556,1,0,0,1,20224.586666666666,0,1,20434.24985362688,0,1,-298256.56635599886,45.8572969950464,20381.83466202802,19908.172337971977,0,0,0,0,128.41357744571724,157.81117323984,16.99127177730402,20204.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8862,1664949600000,20198.72,20299.99,20157.0,20254.23,9868.74637,1664953199999,63.19062014708644,0,0,0.3421776604925313,0.18315512723523927,0.08408367810210005,0,0,0,0,63.38684533483688,52.951452231693786,1,0,0,0,20220.89333333333,1,0,20419.876259481804,0,1,-288387.81998599885,54.6458609551399,20385.156982884888,19934.168017115117,0,0,0,0,125.35955871781334,151.32085033543467,55.64834555852409,20254.23,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
8863,1664953200000,20254.23,20285.0,20200.0,20226.58,10455.77647,1664956799999,61.00505937549601,0,0,0.23026569211788728,0.2599103579412017,0.1707204640825006,0,0,0,0,45.641137855580254,54.402961570951966,1,0,1,0,20212.780000000002,1,0,20406.077609102533,0,1,-298843.59645599884,63.75552546162647,20376.964987619103,19971.118012380895,0,0,0,0,119.33251203677355,144.92318267570246,50.39458741015941,20238.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8864,1664956800000,20227.2,20245.58,20003.38,20133.98,17841.23639,1664960399999,54.2391845951642,0,0,0.0,0.1908144508701395,0.21129331201552637,0,1,1,0,27.69178575972156,45.57325631671292,1,0,0,0,20190.13111111111,0,1,20392.830904738432,0,1,-316684.8328459988,53.2030664999933,20365.342144305792,19998.17385569421,0,0,0,0,105.86365766231756,137.11127767302548,-44.42277505250843,20131.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8865,1664960400000,20133.98,20153.07,20055.19,20089.69,9184.25906,1664963999999,51.308131550174075,0,0,0.0,0.07675523070596242,0.17582667983910075,0,1,0,0,18.30075060429962,30.544558073200502,1,0,0,0,20179.879999999997,0,1,20369.463850454125,0,1,-325869.0919059988,44.946173424969196,20365.763838648683,19996.808161351317,0,0,0,0,90.57160756652229,127.80334365172486,-71.36564643994843,20098.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
